Name,Mass,BC,Inclination,Periapsis,V(pe),Predicted overshoot,Periapsis time,Periapsis lat,Periapsis lng,Predicted time,Predicted lat,Predicted lng,Actual time,Actual lat,Actual lng,Prediction error (km)
Reentry Test2 7,1.22,1,0.09,30002,2999,0.38,1158887,-0.08,260.34,1159049,-0.08,262.23,1159106,-0.06,259.2,31.7
Reentry Test2 7,1.22,1,0.09,30010,3049,0.87,1159287,-0.05,290.46,1159451,-0.05,292.79,1159507,-0.04,289.61,33.3
Reentry Test2 7,1.22,1,0.09,29892,3099,1.32,1160473,0.08,21.26,1160639,0.08,24.01,1160670,0.06,20.29,39
Reentry Test2 7,1.22,1,0.09,30000,3148,1.73,1160260,0.07,4.56,1160429,0.07,7.69,1160477,0.04,4.44,34
Reentry Test2 7,1.22,1,0.09,30013,3198,2.12,1159830,0.02,330.98,1160000,0.02,334.47,1160053,-0.01,331.24,33.8
Reentry Test2 7,1.23,1,0.09,30031,3247,2.49,1160100,0.05,351.49,1160272,0.06,355.31,1160323,0.02,352.05,34.1
Reentry Test2 7,1.22,1,0.08,30050,3297,2.84,1160712,0.08,38.33,1160886,0.08,42.46,1160909,0.13,39.18,34.4
Reentry Test2 7,1.22,1,0.09,30049,3346,3.16,1161097,0.06,67.82,1161273,0.06,72.22,1161317,0.12,68.92,34.5
Reentry Test2 7,1.22,1,0.09,30004,3396,3.48,1160311,0.07,7.12,1160488,0.07,11.84,1160539,0.07,8.58,34.1
Reentry Test2 8,4.91,1,0.1,30014,2999,0.38,5661,0.06,75.28,5822,0.06,77.17,5817,0.07,76.97,2.1
Reentry Test2 8,4.91,1,0.1,30013,3049,0.87,4788,0.08,7.9,4952,0.08,10.24,4956,0.1,10.07,1.8
Reentry Test2 8,4.91,1,0.1,30016,3098,1.32,5252,0.09,42.92,5419,0.09,45.66,5414,0.11,45.53,1.4
Reentry Test2 8,4.91,1,0.1,30022,3148,1.73,2979,-0.09,228.55,3148,-0.09,231.67,3150,-0.09,231.58,0.9
Reentry Test2 8,4.91,1,0.1,30001,3198,2.13,5630,0.07,71.05,5801,0.07,74.54,5790,0.08,74.41,1.4
Reentry Test2 8,4.91,1,0.1,30043,3247,2.49,3531,-0.08,270.17,3704,-0.08,273.99,3702,-0.07,273.55,4.6
Reentry Test2 8,4.91,1,0.1,30022,3297,2.84,4958,0.09,19.06,5132,0.09,23.2,5124,0.11,23.09,1.2
Reentry Test2 8,4.91,1,0.1,30050,3347,3.17,2797,-0.07,213.5,2973,-0.08,217.94,2972,-0.08,217.9,0.4
Reentry Test2 8,4.91,1,0.1,30054,3396,3.48,3035,-0.09,231.52,3212,-0.09,236.24,3215,-0.09,236.21,0.3
Reentry Test2 9,4.91,1,0.1,30019,3496,4.05,8909,0.09,43.14,9090,0.09,48.4,9085,0.1,48.33,0.8
Reentry Test2 9,4.91,1,0.1,30050,3595,4.58,7273,-0.07,277.78,7456,-0.07,283.52,7455,-0.05,283.49,0.4
Reentry Test2 9,4.91,1,0.1,30014,3694,5.07,7671,-0.02,308.13,7857,-0.02,314.31,7860,0.01,314.25,0.7
Reentry Test2 9,4.91,1,0.1,30014,3793,5.52,8782,0.1,32.99,8970,0.1,39.58,8959,0.11,39.57,0.2
Reentry Test2 9,4.91,1,0.1,30011,3892,5.93,7215,-0.08,273.09,7405,-0.07,280.06,7357,-0.05,280.02,0.4
Reentry Test2 9,4.91,1,0.1,30007,3992,6.33,5896,0,172.13,6087,-0.01,179.46,6057,-0.02,179.52,0.6
